text,label
"We are hiring Data Entry Operators. Salary 50,000. Pay registration fee 500.",Fake
Urgent requirement for Back Office. Work from Home. Call 9999999999.,Fake
Google is hiring Software Engineers. Apply at careers.google.com.,Real
Microsoft requires Data Scientists. Minimum 3 years experience.,Real
Amazon remote job. 5000 per day. No interview. Whatsapp now.,Fake
Join our team as a Junior Developer. Competitive salary and benefits.,Real
Earn 20000 weekly by copy paste work. No skill needed.,Fake
Infosys opening for System Engineer. B.Tech required.,Real
Pay 200 rs for interview card and get job instantly.,Fake
Senior Marketing Manager position at ABC Corp. Send resume to hr@abccorp.com.,Real
