country,payment_request,interview_process,job_url,job_title,company_name,job_description,recruiter_email,salary,location,label
Foreign,False,Online Chat,http://netflix-hiring-now.net,Mystery Shopper,Netflix,Earn $2000 weekly working from home. We need a Mystery Shopper immediately. Shipping supplies included.,employment@netflix-jobs.com,High/Unrealistic,San Francisco,Fake
India,True,No Interview,http://bit.ly/job544,Back Office Executive,Airport Services,Urgent hiring for Back Office Executive. 100% genuine. Pay processing charge 999 for ID card and laptop gate pass.,recruiter.airportservices@yahoo.co.in,High/Unrealistic,Chennai,Fake
India,False,Aptitude + Technical + HR,https://careers.hcltech.com/jobs/2835,Data Scientist,HCL Tech,HCL Tech is hiring for Data Scientist. Excellent communication skills and technical knowledge required. Competitive salary and benefits.,recruitment@hcltech.net,Undisclosed,Gurgaon,Genuine
India,False,Aptitude + Technical + HR,https://careers.hdfcbank.com/jobs/9616,HR Executive,HDFC Bank,HDFC Bank is hiring for HR Executive. Excellent communication skills and technical knowledge required. Competitive salary and benefits.,recruitment@hdfcbank.net,Undisclosed,Chennai,Genuine
Foreign,True,Online Chat,http://microsoft-hiring-now.net,Mystery Shopper,Microsoft,Immediate visa sponsorship for Mystery Shopper. Pay small administrative fee for visa processing.,employment@microsoft-jobs.com,High/Unrealistic,Berlin,Fake
Foreign,True,Online Chat,http://salesforce-hiring-now.net,Oil Rig Worker,Salesforce,Exciting offer for Oil Rig Worker. We will send you a check for equipment. Deposit the rest to our vendor.,career@yahoo.com,High/Unrealistic,London,Fake
Foreign,False,Video Conference x3,https://jobs.tesla.com,Product Manager,Tesla,Join our global team as a Product Manager. We prioritize innovation and diversity. Full health benefits included.,careers@tesla.org,Undisclosed,Sydney,Genuine
India,False,No Interview,http://tinyurl.com/datatech solutions,Back Office Executive,DataTech Solutions,Part time job. Just typing work. Earn weekly payment. 100% guaranteed. Call HR Amit on +91-9368713495.,carrer.offer@rediffmail.com,High/Unrealistic,Noida,Fake
India,False,No Interview,http://bit.ly/job765,Captcha Entry Work,Global Services,Work from home opportunity. Earn 5000/day daily. No interview needed. Contact via WhatsApp +91-7959947843.,hr.globalservices@gmail.com,High/Unrealistic,Mumbai,Fake
Foreign,True,Online Chat,http://amazon-hiring-now.net,Payment Processor,Amazon,Exciting offer for Payment Processor. We will send you a check for equipment. Deposit the rest to our vendor.,career@yahoo.com,High/Unrealistic,Singapore,Fake
Foreign,False,Video Conference x3,https://jobs.google.com,Frontend Developer,Google,Join our global team as a Frontend Developer. We prioritize innovation and diversity. Full health benefits included.,careers@google.org,Undisclosed,Remote,Genuine
India,True,No Interview,http://forms.gle/xyz,Data Entry Operator,Airport Services,Direct joining without interview. Salary 40000. Security deposit required for verification.,job.offer123@hotmail.com,High/Unrealistic,Noida,Fake
India,False,Aptitude + Technical + HR,https://careers.icicibank.com/jobs/9978,System Analyst,ICICI Bank,Urgent opening for System Analyst at ICICI Bank Gurgaon branch. Bachelor's degree mandatory. Formal interview process includes Technical and HR rounds.,careers@icicibank.com,Undisclosed,Gurgaon,Genuine
India,True,No Interview,http://bit.ly/job652,Assistant Helper,Airport Services,Government job backdoor entry. Pay 5000 for cleaning charges and get appointment letter today.,recruiter.airportservices@yahoo.co.in,High/Unrealistic,Pune,Fake
India,False,Aptitude + Technical + HR,https://careers.icicibank.com/jobs/5425,System Analyst,ICICI Bank,We are looking for a skilled System Analyst to join our team in Mumbai. Minimum 2 years experience required. Apply on our official portal.,careers@icicibank.com,Undisclosed,Hyderabad,Genuine
Foreign,False,Online Chat,http://netflix-hiring-now.net,Package Handler,Netflix,Earn $2000 weekly working from home. We need a Package Handler immediately. Shipping supplies included.,employment@netflix-jobs.com,High/Unrealistic,Berlin,Fake
India,False,Aptitude + Technical + HR,https://careers.hdfcbank.com/jobs/8992,Data Scientist,HDFC Bank,HDFC Bank is hiring for Data Scientist. Excellent communication skills and technical knowledge required. Competitive salary and benefits.,hr@hdfcbank.co.in,Undisclosed,Hyderabad,Genuine
